HeroName,Aliases,Alignment,Combat,Durability,EyeColor,FullName,Gender,HairColor,Height,Intelligence,Nicknames,Placeofbirth,Power,Publisher,Race,SkinColor,Speed,Strength,Weight
Batwoman-V,-,good,80,25,Green,Katherine Rebecca Kane,female,Red,5'10 // 178 cm,81,Kate,-,27,DC Comics,Human,,29,8,- lb // 0 kg
Hal-Jordan,"Parallax, Spectre, Green Lantern",good,60,64,Brown,Harold Jordan,male,Brown,6'2 // 188 cm,63,-,"Coast City, California",100,DC Comics,Human,,53,90,200 lb // 90 kg
Catwoman,"The Cat, Irena Dubrovna, Elva Barr, Sadie Kelowski, Madame Moderne, Marguerite Tone",good,85,28,Green,Selina Kyle,female,Black,5'9 // 175 cm,69,-,Gotham City,27,DC Comics,Human,,33,11,135 lb // 61 kg
Doomsday,The Ultimate Lifeform,bad,90,100,Red,Doomsday,male,White,8'0 // 244 cm,75,-,Krypton,100,DC Comics,Alien,,67,100,915 lb // 412 kg
Dr-Manhattan,"Jon Osterman, Doctor Manhattan",good,42,100,White,Jonathan Osterman,male,No Hair,- // 0 cm,88,-,-,100,DC Comics,Human / Cosmic,Blue,42,100,- lb // 0 kg
Captain-Marvel,"The World's Mightiest Mortal, The Big Red Cheese, Captain Thunder, Shazam",good,56,95,Blue,William Joseph Batson,male,Black,6'4 // 193 cm,100,-,"Fawcett City, United States",100,DC Comics,Human,,67,100,225 lb // 101 kg
Bizarro,-,neutral,85,100,Black,Bizarro,male,Black,6'3 // 191 cm,38,-,-,100,DC Comics,Bizarro,White,100,95,345 lb // 155 kg
Faora,Katie,bad,90,100,-,Faora Hu-Ul,female,-,- // 0 cm,88,-,-,94,DC Comics,Kryptonian,,75,95,- lb // 0 kg
General-Zod,Dru-Zod (possible first name),bad,95,100,Black,Dru-Zod,male,Black,- // 0 cm,94,Zod,Krypton,100,DC Comics,Kryptonian,,96,100,- lb // 0 kg
Miss-Martian,"Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias), Star-Spangled Kid",good,45,100,Red,M'gann M'orzz,female,Red,5'10 // 178 cm,63,-,Mars,100,DC Comics,-,,58,85,135 lb // 61 kg
Question,Vic Sage,good,80,35,Blue,Charles Victor Szasz,male,Blond,6'2 // 188 cm,81,Charlie,-,20,DC Comics,Human,,27,14,185 lb // 83 kg
Joker,"Red Hood I, Clown Prince of Crime, Harlequin of Hate, Jack Napier, Joe Kerr, Mr. J",bad,70,60,Green,Jack Napier,male,Green,6'5 // 196 cm,100,-,-,43,DC Comics,Human,White,12,10,192 lb // 86 kg
Sobek,Sobek the Talking Crocodile; The Unknown in Formless Time Before Time; Famine,good,56,46,White,Yurrd the Unknown,male,No Hair,- // 0 cm,50,-,Nile River; Bioengineered at Oolong Island,20,DC Comics,-,,23,34,- lb // 0 kg
Solomon-Grundy,Marshland Monster,bad,30,100,Black,Cyrus Gold,male,White,9'2 // 279 cm,9,-,Gotham City,92,DC Comics,Zombie,,13,93,971 lb // 437 kg
Osiris,-,good,42,95,Brown,Amon Tomaz,male,Brown,- // 0 cm,75,-,-,65,DC Comics,-,,60,85,- lb // 0 kg
Harley-Quinn,"Harleen Quinzel, Harl, Cupid of Crime, Jane Wisakedjak, Elise Archer, Pumpkin Pooh",bad,80,65,Blue,Harleen Francis Quinzel,female,Blond,5'7 // 170 cm,88,-,-,55,DC Comics,Human,,33,12,140 lb // 63 kg
Red-Robin,"Alvin Draper, Batman, Robin, Timothy Wayne, Time Drake",good,80,32,Blue,Timothy Jackson Drake,male,Black,5'5 // 165 cm,81,-,Gotham City,29,DC Comics,Human,,27,11,125 lb // 56 kg
Red-Arrow,"Arsenal, Speedy",good,80,20,Green,"Roy William Harper, Jr.",male,Red,5'11 // 180 cm,63,-,-,23,DC Comics,Human,,25,16,185 lb // 83 kg
Wildfire,"ERG-1, Atom'x, Randall Burroughs, Jahr-Drake Nigle",good,42,100,-,Drake Burroughs,male,-,- // 0 cm,50,-,-,77,DC Comics,-,,23,32,- lb // 0 kg
Cyborg,"Cyberion Technis, Omegadrome, Planet Cyberion",good,64,85,Brown,Victor Stone,male,Black,6'6 // 198 cm,75,Corky,"New York City, New York",71,DC Comics,Cyborg,,42,53,385 lb // 173 kg
Stargirl,"Star-Spangled Kid, Star, Stars",good,55,90,Blue,Courtney Whitmore,female,Blond,5'5 // 165 cm,63,-,-,85,DC Comics,Human,,25,80,137 lb // 62 kg
Green-Arrow,"The Emerald Archer, Battling Bowman",good,90,28,Green,Oliver Jonas Queen,male,Blond,6'2 // 188 cm,81,"Ollie, Oliver Queen",-,39,DC Comics,Human,,35,12,195 lb // 88 kg
Booster-Gold,"Supernova, Bharjiwarj",good,40,50,Blue,Michael Jon Carter,male,Blond,6'2 // 188 cm,56,-,"Gotham City, 25th Century",100,DC Comics,Human,,53,85,215 lb // 97 kg
Rip-Hunter,"Time Lord, Time Master, Boppy, Dr. Hunter, Mr, Hunter, Carter",good,25,10,Blue,-,male,Blond,- // 0 cm,100,-,-,93,DC Comics,Human,,8,8,- lb // 0 kg
Deadshot,"Man Who Never Misses, Worlds Finest Assassin, Orlando Furioso",bad,80,28,Brown,Floyd Lawton,male,Brown,6'1 // 185 cm,50,-,-,55,DC Comics,Human,,23,10,202 lb // 91 kg
Killer-Frost,-,bad,30,35,Blue,-,female,Blond,- // 0 cm,88,-,-,59,DC Comics,Human,Blue,13,10,- lb // 0 kg
Anti-Monitor,"Monitor, Mobius",bad,90,100,Yellow,-,male,No Hair,200 // 61.0 meters,88,-,Moon of Qward,100,DC Comics,God / Eternal,,50,100,- lb // 0 kg
Superboy,"Experiment 13; Superman; Project: Superman; Carl Krummett; Project: Lionel Luthor; The Metropolis Kid, Superman",good,60,90,Blue,Kon-El / Conner Kent,male,Black,5'7 // 170 cm,75,-,Project Cadmus cloning facility,91,DC Comics,-,,83,95,150 lb // 68 kg
Orion,"Son of Darkseid, The Dog of War",good,100,80,Blue,-,male,Strawberry Blond,6'4 // 193 cm,63,-,-,100,DC Comics,New God,,25,100,425 lb // 191 kg
Gog,"Nephut-Sha, Hassan Kareem",bad,56,72,-,-,male,-,- // 0 cm,50,-,-,39,DC Comics,-,,47,34,- lb // 0 kg
Elongated-Man,Alvin Burgson; Molder,good,42,90,Blue,Ralph Dibny,male,Red,6'1 // 185 cm,38,-,-,41,DC Comics,-,,27,10,178 lb // 80 kg
Two-Face,Apollo,bad,28,14,-,Harvey Dent,male,-,6'0 // 183 cm,88,-,-,9,DC Comics,-,,12,10,182 lb // 82 kg
Robin-III,"Alvin Draper, Batman, Robin, Timothy Wayne",good,85,28,Blue,Timothy Jackson Drake,male,Black,5'5 // 165 cm,81,Tim,-,29,DC Comics,Human,,27,11,125 lb // 56 kg
Space-Ghost,"Ted Ghostel, Tad Ghostal",good,80,40,-,Thaddeus Bach,male,-,6'2 // 188 cm,38,-,-,95,DC Comics,Human,,33,18,250 lb // 113 kg
Superman,"Clark Joseph Kent, The Man of Steel, the Man of Tomorrow, the Last Son of Krypton, Big Blue, the Metropolis Marvel, the Action Ace",good,85,100,Blue,Clark Kent (Kal-El),male,Black,6'3 // 191 cm,100,"C.K., Clark Kent",Krypton,100,DC Comics,Kryptonian,,100,100,225 lb // 101 kg
Jessica-Cruz,"Green Lantern, Power Ring",good,55,50,Green,Jessica Viviana Cruz,female,Brown,- // 0 cm,56,-,-,92,DC Comics,Human,,46,90,- lb // 0 kg
Darkseid,Dark God,bad,95,100,Red,Uxas,male,No Hair,8'9 // 267 cm,88,-,-,100,DC Comics,New God,Grey,83,100,1815 lb // 817 kg
Professor-Zoom,"Reverse Flash, Black Flash, Adrian Zoom, Mister Zyx",bad,20,20,Blue,Eobard Thawne,male,Strawberry Blond,5'11 // 180 cm,94,-,-,83,DC Comics,Human,,100,10,179 lb // 81 kg
Poison-Ivy,-,bad,40,40,Green,Pamela Lillian Isley,female,Red,5'6 // 168 cm,81,-,"Seattle, Washington",100,DC Comics,Human,Green,21,14,110 lb // 50 kg
Robin-I,"Renegade, The Target, Freddie Dinardo",good,85,28,Blue,Richard John Grayson,male,Black,5'10 // 178 cm,88,-,-,32,DC Comics,Human,,27,11,175 lb // 79 kg
Azrael,Bat-Devil; Bat-Ghost,good,80,20,Brown,Michael Washington Lane,male,Black,- // 0 cm,63,-,Gotham City,35,DC Comics,Human,,17,18,- lb // 0 kg
Mister-Zsasz,Mr Zsasz,bad,85,28,Blue,Victor Zsasz,male,Blond,- // 0 cm,88,-,-,18,DC Comics,Human,,33,22,- lb // 0 kg
Oracle,"Batgirl, Babs; Barbie Doll; O; The Masked Maiden; the Dark Knight Damsel",good,76,28,Blue,Barbara Gordon,female,Red,5'10 // 178 cm,75,-,-,19,DC Comics,Human,,23,11,132 lb // 59 kg
Alan-Scott,"Green Lantern, White King, Sentinal",good,32,90,Blue,Alan Ladd Wellington Scott,male,Blond,5'11 // 180 cm,63,-,Gotham City,100,DC Comics,-,,23,80,201 lb // 90 kg
Robin-V,"Batman, Damian al Ghul, Ibn al Xu'ffasch, Redbird",good,65,16,Blue,Damian Wayne,male,Black,4'6 // 137 cm,69,-,-,29,DC Comics,Human,,33,8,84 lb // 38 kg
Brainiac,Milton Fine,bad,75,90,Green,Vril Dox,male,No Hair,6'6 // 198 cm,100,-,-,60,DC Comics,Android,Green,63,95,300 lb // 135 kg
Vibe,-,good,30,30,Brown,Francisco Paco Ramon,male,Black,5'10 // 178 cm,50,-,-,99,DC Comics,Human,,17,10,157 lb // 71 kg
Starfire,"Princess Koriand'r, Kory Anders, Nova",good,70,85,Green,Koriand'r,female,Auburn,6'4 // 193 cm,50,-,Tamaran,59,DC Comics,Tamaranean,Orange,33,80,158 lb // 71 kg
Wonder-Girl,"Cassandra Sandsmark, Cassie, Helen Troy, Wonder Woman, Cassie Sandsmark",good,60,80,Blue,Cassandra Elizabeth Sandsmark,female,Blond,5'5 // 165 cm,75,Cassie,-,39,DC Comics,Demi-God,,25,90,114 lb // 51 kg
Bane,-,bad,95,56,-,-,male,-,6'8 // 203 cm,88,-,-,51,DC Comics,Human,,23,38,400 lb // 180 kg
Magog,-,good,72,64,Blue,David Reid,male,Blond,- // 0 cm,50,-,-,66,DC Comics,-,,23,48,- lb // 0 kg
Kevin-11,"Kevin 11,000, Curtis, Osmosian, Kev, Kevin Ethan, Levin, Ultimate Kevin, Doofus, An Empty Shell, Kevin E. Levin",good,40,14,-,Kevin Ethan Levin,male,Black,- // 0 cm,25,-,-,100,DC Comics,Human,,12,7,- lb // 0 kg
Indigo,Indigo-1,neutral,50,50,-,-,female,Purple,- // 0 cm,75,-,-,100,DC Comics,Alien,,50,63,- lb // 0 kg
Aqualad,-,good,60,75,Blue,Garth,male,Black,5'10 // 178 cm,63,-,"Poseidonis, Atlantis",84,DC Comics,Atlantean,,42,44,235 lb // 106 kg
White-Canary,"Silk Sister, Sara Lance",bad,90,15,Brown,-,female,Black,- // 0 cm,63,-,-,49,DC Comics,Human,,33,7,- lb // 0 kg
Amazo,"Professor Ivos Amazing Android, Timazo, Humazo, Hourmazo",bad,100,100,Red,-,male,-,8'5 // 257 cm,63,-,-,100,DC Comics,Robot,,83,100,385 lb // 173 kg
Metallo,-,bad,64,95,Green,John Corben,male,Brown,6'5 // 196 cm,75,-,-,86,DC Comics,Cyborg,,23,53,200 lb // 90 kg
Red-Hood,"Robin, Red Robin, Batman, Nightwing, Arkham Knight",neutral,95,28,Blue,Jason Peter Todd,male,Black,6'0 // 183 cm,75,Rojo,-,35,DC Comics,Human,,23,12,180 lb // 81 kg
Isis,-,good,56,46,-,Adrianna Tomaz,female,-,- // 0 cm,75,-,-,50,DC Comics,-,,75,48,- lb // 0 kg
Aquaman,"Dweller in the Depths, Swimmer, Waterbearer, Mental Man, Aquaboy, Water Wraith",good,80,80,Blue,Orin,male,Blond,6'1 // 185 cm,69,-,Atlantis,100,DC Comics,Atlantean,,79,85,325 lb // 146 kg
Steppenwolf,Steppenwulf,bad,100,100,Red,-,male,Black,6'0 // 183 cm,94,-,-,100,DC Comics,New God,White,83,100,203 lb // 91 kg
Rorschach,-,good,80,20,Blue,Walter Joseph Kovacs,male,Red,5'6 // 168 cm,75,-,-,23,DC Comics,Human,,29,10,140 lb // 63 kg
Offspring,"Ernie McDunnagh, Plastic Lad",good,56,99,-,Luke O'Brian,male,-,- // 0 cm,50,Loogie,-,100,DC Comics,-,,35,10,- lb // 0 kg
Flash-I,"Jay Garrick, Siegfreid the Speedster",good,32,50,Blue,Jason Peter Garrick,male,Brown / White,5'11 // 180 cm,63,-,"Hibbardsville, Kansas",68,DC Comics,Human,,100,10,179 lb // 81 kg
Riddler,"E. Nigma, Edward E. Nigma",bad,14,14,-,Edward Nigma,male,-,- // 0 cm,100,-,-,10,DC Comics,-,,12,10,- lb // 0 kg
Cyborg-Superman,"Grandmaster of the Manhunters, Herald of the Anti-Monitor, Alpha-Prime of the Alpha Lanterns",bad,80,100,Blue,Henry Henshaw,male,Black,- // 0 cm,75,Hank,-,100,DC Comics,Cyborg,,92,93,- lb // 0 kg
Clock-King,Tempus Fugit,bad,40,10,Blue,William Tockman,male,Black,5'10 // 178 cm,75,-,-,7,DC Comics,Human,,17,10,173 lb // 78 kg
Rick-Flag,-,bad,95,28,Blue,Richard Rogers Flag,male,Brown,6'1 // 185 cm,88,Rick,-,19,DC Comics,-,,23,11,189 lb // 85 kg
Deathstroke,"Slade Wilson, Deathstroke the Terminator, Batman",neutral,90,100,Blue,Slade Joseph Wilson,male,White,6'4 // 193 cm,75,-,-,47,DC Comics,Human,,35,30,225 lb // 101 kg
Static,"Sparky, Virg, V, V-Man",good,40,50,Brown,Virgil Ovid Hawkins,male,Black,5'7 // 170 cm,69,-,"Paris Island, Dakota City",90,DC Comics,Mutant,,42,8,140 lb // 63 kg
Metron,-,good,28,56,Blue,Metron,male,Black,6'1 // 185 cm,88,-,-,100,DC Comics,-,,47,10,190 lb // 86 kg
Big-Barda,"Barda, the Strongest Woman in the World",bad,100,100,Blue,Barda Free,female,Black,6'2 // 188 cm,88,-,-,96,DC Comics,New God,,79,100,300 lb // 135 kg
Wonder-Woman,"Princess Diana, Princess of the Amazons, Goddess of Truth,  Wondy, Wonder Girl, The Amazon Princess",good,100,100,Blue,Diana of Themyscira,female,Black,6'0 // 183 cm,88,-,Themyscira,100,DC Comics,Amazon,,79,100,165 lb // 74 kg
Black-Adam,"Hassan Bari, Theo Adam, Mighty Adam, Khem-Adam",bad,56,100,Brown,Teth-Adam,male,Black,6'3 // 191 cm,88,-,"Kahndaq, Egypt",100,DC Comics,-,,92,100,250 lb // 113 kg
Abin-Sur,Lagzia,good,65,64,Blue,-,male,No Hair,6'1 // 185 cm,50,-,Ungara,84,DC Comics,Ungaran,Red,53,90,200 lb // 90 kg
Light-Lass,-,good,42,28,Blue,Ayla Ranzz,female,Red,5'5 // 165 cm,38,-,-,65,DC Comics,-,,35,10,120 lb // 54 kg
Enchantress,"Anita Soulfeeda, Soulsinger",good,40,60,Blue,-,female,Blond,5'6 // 168 cm,63,-,-,100,DC Comics,Human,,25,14,126 lb // 57 kg
Guy-Gardner,"Green Lantern, Red Lantern, Warrior",good,64,64,Blue,Guy Darrin Gardner,male,Red,6'2 // 188 cm,38,-,"Baltimore, Maryland",100,DC Comics,Human-Vuldarian,,53,90,210 lb // 95 kg
John-Stewart,Green Lantern,good,54,64,Green,John Stewart,male,Black,6'1 // 185 cm,50,-,-,94,DC Comics,-,,27,80,201 lb // 90 kg
Triplicate-Girl,"Duo Damsel, Una, Triad",good,42,42,Purple,Luornu Durgo,female,Brown,5'6 // 168 cm,63,-,-,44,DC Comics,-,,23,10,130 lb // 59 kg
Kilowog,"Kilo Wog, Green Lantern 674.1, Dark Lantern, The Green Lantern drill sergeant, ""Poozer"", Lantern",good,80,42,Red,-,male,No Hair,7'8 // 234 cm,81,-,Bolovax Vik,100,DC Comics,Bolovaxian,Pink,53,90,720 lb // 324 kg
The-Comedian,Eddie Blake,neutral,80,10,Brown,Edward Morgen Blake,male,Black,6'2 // 188 cm,63,-,-,12,DC Comics,Human,,17,14,225 lb // 101 kg
Animal-Man,The Human Zoo; A-Man; The Man with Animal Powers,good,80,85,Blue,Bernhard Baker,male,Blond,6'0 // 183 cm,56,Buddy,-,73,DC Comics,Human,,47,48,185 lb // 83 kg
Warp,-,bad,50,28,Brown,Emil LaSalle,male,Black,5'8 // 173 cm,38,-,-,85,DC Comics,-,,23,10,148 lb // 67 kg
Huntress,"Batgirl, Sicilian, Mafia Princess",good,95,28,Blue,Helena Rosa Bertinelli,female,Black,5'11 // 180 cm,69,-,-,34,DC Comics,-,,23,10,130 lb // 59 kg
Bizarro-Girl,"Bizarro Supergirl, Bizarrogirl, Bizarro Girl",neutral,75,100,Red,-,female,Blond,5'7 // 170 cm,50,-,-,100,DC Comics,Bizarro,,100,100,- lb // 0 kg
Batgirl-IV,"Kasumi, various mundane persona,",good,100,56,Green,Cassandra Cain,female,Black,5'5 // 165 cm,69,-,League of Assassins (exact base is unknown),46,DC Comics,Human,,27,12,115 lb // 52 kg
Penguin,-,bad,45,28,Blue,Oswald Chesterfield Cobblepot,male,Black,5'2 // 157 cm,75,-,-,30,DC Comics,Human,,12,10,175 lb // 79 kg
Firestorm,"Ronnie, Roy, Ronald Rockwell, Flamehead",good,40,80,Blue,Ronald Raymond,male,Auburn,6'2 // 188 cm,38,-,-,100,DC Comics,Human,,58,80,202 lb // 91 kg
Match,"Superboy, Superman",bad,70,85,Black,Kent Connor,male,Black,- // 0 cm,75,-,-,97,DC Comics,-,,83,95,- lb // 0 kg
Black-Lightning,-,good,75,28,Brown,Jefferson Pierce,male,No Hair,6'1 // 185 cm,50,-,-,70,DC Comics,-,,53,11,200 lb // 90 kg
Gorilla-Grodd,"William Dawson, King Grodd, Gorilla Grodd, Grodd-Son",bad,65,70,Yellow,Grodd,male,Black,6'6 // 198 cm,81,-,-,100,DC Comics,Gorilla,,33,53,600 lb // 270 kg
Nightwing,"Freddie Dinardo, Freddy Loyd, The Target, Renegade, The Worlds Greatest Acrobat, The Aerial Avenger, Pixie Boots, The Boy / Teen Wonder, The Worlds Greatest Detective, The Caped Crusader",good,100,28,Blue,Richard John Grayson,male,Black,5'10 // 178 cm,88,Dick,Gotham City,36,DC Comics,Human,,33,11,175 lb // 79 kg
Micro-Lad,"Colossal Boy (mostly known as Colossal Boy, although he dislikes that name himself)",good,32,28,Grey,Gim Allon,male,Brown,6' // 183 cm,38,-,-,44,DC Comics,-,,27,28,170 lb // 77 kg
Captain-Cold,"Citizen Cold, Kid Kold, Len Snart, Leonard Snart, Leonards Wynters, The Man Who Mastered Absolute Zero",neutral,20,20,Brown,Leonard Snart,male,Brown,- // 0 cm,50,-,-,28,DC Comics,Human,,17,10,- lb // 0 kg
Impulse,"Flash IV, Kid Flash II",good,60,60,Yellow,Bartholomew Allen II,male,Auburn,5'7 // 170 cm,50,Bart Allen,-,74,DC Comics,Human,,100,10,145 lb // 65 kg
Mister-Mxyzptlk,-,bad,28,14,-,Mr. Mxyzptlk,male,-,- // 0 cm,113,Mxy,-,100,DC Comics,-,,12,10,- lb // 0 kg
